ParticipantName	LocalTimeStamp	FixationIndex	GazeEventDuration	AOI[window]Hit	AOI[title]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[Q1]Hit	
P01	09:17:33.885	1	1286	1	0	1	0	0	0	0	
P01	09:17:34.511	2	147	1	0	0	0	0	0	0	
P01	09:17:34.695	3	130	1	0	0	0	0	0	0	
P01	09:17:34.858	4	290	1	1	0	0	0	0	0	
P01	09:17:35.874	5	190	1	1	0	0	0	0	0	
P01	09:17:36.088	6	467	1	0	0	0	0	0	0	
P01	09:17:36.608	7	183	1	0	0	0	0	0	0	
P01	09:17:36.831	8	263	1	0	0	0	0	0	0	
P01	09:17:37.128	9	630	1	0	0	0	0	0	0	
P01	09:17:37.947	10	344	1	1	0	0	0	0	0	
P01	09:17:38.368	11	157	1	0	0	0	0	0	0	
P01	09:17:38.551	12	207	1	0	0	1	0	0	0	
P01	09:17:38.808	13	170	1	0	1	0	0	0	1	
P01	09:17:39.005	14	440	1	0	1	0	0	0	1	
P01	09:17:39.511	15	157	1	0	0	0	0	0	0	
P01	09:17:39.688	16	520	1	0	0	0	0	0	0	
P01	09:17:40.434	17	257	1	1	0	0	0	0	0	
P01	09:17:40.728	18	220	1	1	0	0	0	0	0	
P01	09:17:40.971	19	170	1	1	0	0	0	0	0	
P01	09:17:41.184	20	350	1	1	0	0	0	0	0	
P01	09:17:41.561	21	283	1	1	0	0	0	0	0	
P01	09:17:42.694	22	267	1	1	0	0	0	0	0	
P01	09:17:43.001	23	283	1	1	0	0	0	0	0	
P01	09:17:43.317	24	143	1	1	0	0	0	0	0	
P01	09:17:43.497	25	260	1	1	0	0	0	0	0	
P01	09:17:43.797	26	173	1	1	0	0	0	0	0	
P01	09:17:44.001	27	150	1	1	0	0	0	0	0	
P01	09:17:44.187	28	153	1	1	0	0	0	0	0	
P01	09:17:44.354	29	170	1	1	0	0	0	0	0	
P01	09:17:44.547	30	167	1	1	0	0	0	0	0	
P01	09:17:44.744	31	397	1	1	0	0	0	0	0	
P01	09:17:45.171	32	293	1	1	0	0	0	0	0	
P01	09:17:45.487	33	283	1	0	0	0	0	0	0	
P01	09:17:45.797	34	400	1	0	0	0	0	0	0	
P01	09:17:46.220	35	170	1	0	0	0	0	0	0	
P01	09:17:46.440	36	193	1	0	0	1	0	0	0	
P01	09:17:46.647	37	303	1	0	0	1	0	0	0	
P01	09:17:47.014	38	227	1	1	0	0	0	0	0	
P01	09:17:47.254	39	97	1	1	0	0	0	0	0	
P01	09:17:47.390	40	357	1	1	0	0	0	0	0	
P01	09:17:47.810	41	347	1	0	1	0	0	0	1	
P01	09:17:48.300	42	173	1	0	1	0	0	0	1	
P01	09:17:48.490	43	313	1	0	1	0	0	0	1	
P01	09:17:48.937	44	183	1	0	0	1	0	0	0	
P01	09:17:49.123	45	540	1	0	0	1	0	0	0	
P01	09:17:49.713	46	610	1	0	1	0	0	0	1	
P01	09:17:50.343	47	323	1	0	1	0	0	1	0	
P01	09:17:50.716	48	190	1	0	0	1	0	0	0	
P01	09:17:50.923	49	593	1	0	0	1	0	0	0	
P01	09:17:51.520	50	270	1	0	0	1	0	0	0	
P01	09:17:51.803	51	500	1	0	0	1	0	0	0	
P01	09:17:52.356	52	263	1	0	1	0	0	1	0	
P01	09:17:52.656	53	230	1	0	1	0	0	1	0	
P01	09:17:52.913	54	417	1	0	1	0	0	1	0	
P01	09:17:53.346	55	110	1	0	1	0	0	1	0	
P01	09:17:53.483	56	323	1	0	1	0	1	0	0	
P01	09:17:53.836	57	397	1	0	1	0	1	0	0	
P01	09:17:54.313	58	220	1	1	0	0	0	0	0	
P01	09:17:54.556	59	153	1	1	0	0	0	0	0	
P01	09:17:54.739	60	167	1	1	0	0	0	0	0	
P01	09:17:54.936	61	190	1	1	0	0	0	0	0	
P01	09:17:55.196	62	190	1	1	0	0	0	0	0	
P01	09:17:55.416	63	187	1	1	0	0	0	0	0	
P01	09:17:55.652	64	320	1	0	0	1	0	0	0	
P01	09:17:55.979	65	377	1	0	0	1	0	0	0	
P01	09:17:56.416	66	637	1	0	1	0	0	0	1	
P01	09:17:57.082	67	240	1	0	1	0	0	0	1	
P01	09:17:57.369	68	170	1	0	0	1	0	0	0	
P01	09:17:57.592	69	120	1	0	0	0	0	0	0	
P01	09:17:57.755	70	437	1	1	0	0	0	0	0	
P01	09:17:58.232	71	127	1	0	1	0	0	0	1	
P01	09:17:58.409	72	237	1	0	0	1	0	0	0	
P01	09:17:58.649	73	253	1	0	0	1	0	0	0	
P01	09:17:58.959	74	207	1	0	1	0	0	0	1	
P01	09:17:59.182	75	360	1	0	1	0	0	0	1	
P01	09:17:59.602	76	450	1	0	1	0	0	0	1	
P01	09:18:00.082	77	537	1	0	1	0	0	1	0	
P01	09:18:00.652	78	227	1	0	1	0	0	1	0	
P01	09:18:00.925	79	340	1	0	1	0	1	0	0	
P01	09:18:01.345	80	160	1	0	1	0	0	0	1	
P01	09:18:01.558	81	230	1	0	0	1	0	0	0	
P01	09:18:01.805	82	317	1	0	0	1	0	0	0	
P01	09:18:02.182	83	183	1	0	1	0	0	0	0	
P01	09:18:02.432	84	127	1	0	0	0	0	0	0	
P01	09:18:02.592	85	223	1	0	0	0	0	0	0	
P01	09:18:02.872	86	147	1	0	1	0	0	0	0	
P01	09:18:03.048	87	197	1	0	1	0	1	0	0	
P01	09:18:03.268	88	320	1	0	1	0	1	0	0	
P01	09:18:03.625	89	190	1	0	1	0	0	1	0	
P01	09:18:03.831	90	240	1	0	1	0	0	1	0	
P01	09:18:04.101	91	340	1	0	1	0	0	1	0	
P01	09:18:04.488	92	430	1	0	1	0	0	0	1	
P01	09:18:04.941	93	197	1	0	1	0	0	0	1	
P01	09:18:05.161	94	383	1	0	1	0	0	0	1	
P01	09:18:05.568	95	393	1	0	1	0	0	0	1	
P01	09:18:05.981	96	453	1	0	1	0	0	1	0	
P01	09:18:06.451	97	260	1	0	1	0	0	1	0	
