ParticipantName	FixationIndex	AOI[title]Hit	AOI[legend]Hit	AOI[window]Hit	AOI[graph]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	
P01	1	0	0	1	1	1	0	0	
P01	2	1	0	1	0	0	0	0	
P01	3	0	0	1	1	1	0	0	
P01	4	0	0	1	1	1	0	0	
P01	5	0	0	1	1	1	0	0	
P01	6	0	1	1	0	0	0	0	
P01	7	0	1	1	0	0	0	0	
P01	8	0	0	1	1	1	0	0	
P01	9	0	0	1	1	1	0	0	
P01	10	0	1	1	0	0	0	0	
P01	11	0	0	1	1	1	0	0	
P01	12	0	0	1	1	1	0	0	
P01	13	0	0	1	1	1	0	0	
P01	14	0	0	1	1	1	0	0	
P01	15	0	0	1	1	0	1	0	
P01	16	0	0	1	1	0	1	0	
P01	17	0	0	1	1	0	1	0	
P01	18	0	0	1	1	0	1	0	
P01	19	0	0	1	1	0	0	1	
P01	20	0	0	1	1	0	0	1	
P01	21	0	0	1	1	0	0	1	
P01	22	0	0	1	0	0	0	0	
P01	23	0	1	1	0	0	0	0	
P01	24	0	1	1	0	0	0	0	
P01	25	0	0	1	1	0	0	0	
P01	26	0	0	1	1	0	0	1	
P01	27	0	0	1	1	0	0	0	
P01	28	0	0	1	0	0	0	0	
P01	29	0	1	1	0	0	0	0	
P01	30	0	1	1	0	0	0	0	
P01	31	0	1	1	0	0	0	0	
P01	32	0	0	1	1	1	0	0	
P01	33	0	0	1	1	1	0	0	
P01	34	0	0	1	1	1	0	0	
P01	35	0	0	1	1	0	1	0	
P01	36	0	0	1	1	1	0	0	
P01	37	1	0	1	0	0	0	0	
P01	38	1	0	1	0	0	0	0	
P01	39	1	0	1	0	0	0	0	
P02	1	0	0	1	1	0	0	0	
P02	2	0	0	1	1	1	0	0	
P02	3	0	0	1	1	1	0	0	
P02	4	0	1	1	0	0	0	0	
P02	5	1	0	1	0	0	0	0	
P02	6	1	0	1	0	0	0	0	
P02	7	1	0	1	0	0	0	0	
P02	8	1	0	1	0	0	0	0	
P02	9	1	0	1	0	0	0	0	
P02	10	1	0	1	0	0	0	0	
P02	11	1	0	1	0	0	0	0	
P02	12	1	0	1	0	0	0	0	
P02	13	1	0	1	0	0	0	0	
P02	14	1	0	1	0	0	0	0	
P02	15	1	0	1	0	0	0	0	
P02	16	1	0	1	0	0	0	0	
P02	17	1	0	1	0	0	0	0	
P02	18	1	0	1	0	0	0	0	
P02	19	1	0	1	0	0	0	0	
P02	20	1	0	1	0	0	0	0	
P02	21	1	0	1	0	0	0	0	
P02	22	1	0	1	0	0	0	0	
P02	23	1	0	1	0	0	0	0	
P02	24	0	1	1	0	0	0	0	
P02	25	0	1	1	0	0	0	0	
P02	26	0	0	1	1	1	0	0	
P02	27	0	0	1	1	1	0	0	
P02	28	0	1	1	0	0	0	0	
P02	29	0	1	1	0	0	0	0	
P02	30	0	1	1	0	0	0	0	
P02	31	0	1	1	0	0	0	0	
P02	32	0	1	1	0	0	0	0	
P02	33	0	1	1	0	0	0	0	
P02	34	0	1	1	0	0	0	0	
P02	35	0	0	1	1	1	0	0	
P02	36	0	0	1	1	1	0	0	
P02	37	0	0	1	1	1	0	0	
P02	38	0	0	1	1	1	0	0	
P02	39	0	1	1	0	0	0	0	
P02	40	0	1	1	0	0	0	0	
P02	41	0	1	1	0	0	0	0	
P02	42	0	1	1	0	0	0	0	
P02	43	0	0	1	0	0	0	0	
P02	44	0	1	1	0	0	0	0	
P02	45	0	1	1	0	0	0	0	
P02	46	0	1	1	0	0	0	0	
P02	47	0	0	1	1	1	0	0	
P02	48	0	0	1	1	1	0	0	
P02	49	0	1	1	0	0	0	0	
P02	50	0	1	1	0	0	0	0	
P02	51	0	1	1	0	0	0	0	
P02	52	0	0	1	1	1	0	0	
P02	53	0	0	1	1	0	0	0	
P02	54	0	0	1	1	1	0	0	
P02	55	0	1	1	0	0	0	0	
P02	56	0	1	1	0	0	0	0	
P02	57	0	1	1	0	0	0	0	
P02	58	0	0	1	1	1	0	0	
P02	59	0	1	1	0	0	0	0	
P02	60	0	1	1	0	0	0	0	
P02	61	0	1	1	0	0	0	0	
P02	62	0	1	1	0	0	0	0	
P02	63	0	1	1	0	0	0	0	
P02	64	0	1	1	0	0	0	0	
P02	65	0	1	1	0	0	0	0	
P02	66	0	1	1	0	0	0	0	
P02	67	0	1	1	0	0	0	0	
P02	68	0	1	1	0	0	0	0	
P02	69	0	0	1	1	1	0	0	
P02	70	0	1	1	0	0	0	0	
P02	71	0	0	1	1	1	0	0	
P02	72	0	0	1	1	1	0	0	
P02	73	0	1	1	0	0	0	0	
P02	74	0	1	1	0	0	0	0	
P02	75	0	1	1	0	0	0	0	
P02	76	0	0	1	1	1	0	0	
P02	77	0	0	1	1	1	0	0	
P02	78	0	1	1	0	0	0	0	
P02	79	0	1	1	0	0	0	0	
P02	80	0	0	1	1	0	0	0	
P02	81	0	0	1	1	0	0	1	
P02	82	0	0	1	1	0	0	1	
P02	83	0	0	1	1	0	0	1	
P02	84	0	0	1	1	0	0	1	
P02	85	0	0	1	1	1	0	0	
P02	86	0	1	1	0	0	0	0	
P02	87	0	1	1	0	0	0	0	
P02	88	0	0	1	1	1	0	0	
P02	89	0	0	1	1	1	0	0	
P02	90	0	1	1	0	0	0	0	
P02	91	0	1	1	0	0	0	0	
P02	92	0	0	1	1	1	0	0	
P02	93	0	0	1	1	1	0	0	
P02	94	0	0	1	1	1	0	0	
P02	95	1	0	1	0	0	0	0	
P02	96	1	0	1	0	0	0	0	
P02	97	1	0	1	0	0	0	0	
P02	98	1	0	1	0	0	0	0	
P02	99	1	0	1	0	0	0	0	
P02	100	1	0	1	0	0	0	0	
P02	101	1	0	1	0	0	0	0	
P02	102	1	0	1	0	0	0	0	
P02	103	0	0	1	1	1	0	0	
P02	104	0	0	1	1	1	0	0	
P02	105	0	0	1	1	1	0	0	
P02	106	0	0	1	1	0	0	0	
P02	107	0	0	1	0	0	0	0	
P02	108	0	1	1	0	0	0	0	
P02	109	0	1	1	0	0	0	0	
P02	110	0	0	1	1	1	0	0	
P02	111	0	0	1	1	1	0	0	
P02	112	0	1	1	0	0	0	0	
P02	113	0	1	1	0	0	0	0	
P02	114	0	1	1	0	0	0	0	
P02	115	0	1	1	0	0	0	0	
P02	116	0	1	1	0	0	0	0	
P02	117	0	1	1	0	0	0	0	
P02	118	0	1	1	0	0	0	0	
P02	119	0	1	1	0	0	0	0	
P02	120	0	1	1	0	0	0	0	
P02	121	0	1	1	0	0	0	0	
P02	122	0	1	1	0	0	0	0	
P02	123	0	0	1	1	1	0	0	
P02	124	0	1	1	0	0	0	0	
P02	125	0	1	1	0	0	0	0	
P02	126	0	0	1	1	1	0	0	
P02	127	0	0	1	1	1	0	0	
P02	128	0	1	1	0	0	0	0	
P02	129	0	1	1	0	0	0	0	
P02	130	0	1	1	0	0	0	0	
P02	131	0	1	1	0	0	0	0	
P02	132	0	1	1	0	0	0	0	
P02	133	0	0	1	1	1	0	0	
P02	134	0	1	1	0	0	0	0	
P02	135	0	1	1	0	0	0	0	
P02	136	0	1	1	0	0	0	0	
P02	137	0	0	1	1	1	0	0	
P02	138	0	0	1	1	1	0	0	
P02	139	0	0	1	1	0	1	0	
P02	140	0	0	1	1	1	0	0	
P02	141	0	0	1	1	1	0	0	
P02	142	0	0	1	1	1	0	0	
P02	143	0	0	1	1	1	0	0	
P02	144	0	1	1	0	0	0	0	
P02	145	0	1	1	0	0	0	0	
P02	146	0	0	1	1	1	0	0	
P02	147	0	0	1	1	1	0	0	
P02	148	0	0	1	1	1	0	0	
P02	149	0	0	1	1	0	1	0	
P02	150	0	0	1	1	0	0	1	
P02	151	0	0	1	1	0	0	1	
P02	152	0	1	1	0	0	0	0	
P02	153	0	1	1	0	0	0	0	
P02	154	0	0	1	1	0	1	0	
P02	155	0	0	1	1	0	0	1	
P02	156	0	0	1	1	1	0	0	
P02	157	0	0	1	1	1	0	0	
P02	158	0	0	1	1	0	0	0	
P02	159	0	1	1	0	0	0	0	
P02	160	0	0	1	1	0	0	0	
P02	161	0	0	1	1	0	0	1	
P02	162	0	0	1	1	0	0	1	
P02	163	0	0	1	1	0	0	1	
P02	164	0	1	1	0	0	0	0	
P02	165	0	1	1	0	0	0	0	
P02	166	0	1	1	0	0	0	0	
P02	167	0	0	1	0	0	0	0	
P02	168	0	0	1	1	0	0	1	
P02	169	0	0	1	1	0	0	1	
P02	170	0	0	1	1	0	0	1	
P02	171	0	0	1	1	0	0	1	
P02	172	0	0	1	1	0	0	0	
P02	173	0	0	1	1	0	0	1	
P02	174	0	0	1	0	0	0	0	
P02	175	1	0	1	0	0	0	0	
P02	176	1	0	1	0	0	0	0	
P02	177	1	0	1	0	0	0	0	
P02	178	1	0	1	0	0	0	0	
P02	179	1	0	1	0	0	0	0	
P02	180	1	0	1	0	0	0	0	
P02	181	1	0	1	0	0	0	0	
P02	182	0	0	1	1	0	0	0	
P02	183	0	0	1	1	0	0	1	
P02	184	0	0	1	1	0	0	0	
P02	185	0	0	1	1	0	0	1	
P02	186	0	0	1	1	0	0	1	
P02	187	0	0	1	1	0	0	1	
P02	188	0	0	1	1	0	0	0	
P02	189	0	0	1	1	0	0	1	
P02	190	0	0	1	1	0	0	1	
P02	191	0	0	1	1	0	0	1	
P02	192	0	0	1	1	0	0	1	
P02	193	0	0	1	1	1	0	0	
P02	194	0	0	1	1	1	0	0	
P02	195	1	0	1	0	0	0	0	
P02	196	1	0	1	0	0	0	0	
P02	197	1	0	1	0	0	0	0	
P02	198	0	1	1	0	0	0	0	
P02	199	0	1	1	0	0	0	0	
P02	200	0	0	1	1	1	0	0	
P02	201	0	1	1	0	0	0	0	
P02	202	0	1	1	0	0	0	0	
P02	203	0	1	1	0	0	0	0	
P02	204	0	1	1	0	0	0	0	
P02	205	0	0	1	1	1	0	0	
P02	206	0	0	1	1	1	0	0	
P02	207	0	0	1	1	1	0	0	
P02	208	0	0	1	1	1	0	0	
P02	209	0	0	1	1	1	0	0	
P02	210	0	0	1	1	1	0	0	
P02	211	0	0	1	1	1	0	0	
P02	212	0	0	1	1	0	0	1	
P02	213	0	0	1	1	1	0	0	
P02	214	0	0	1	1	1	0	0	
P02	215	0	0	1	1	1	0	0	
P02	216	0	0	1	1	1	0	0	
P02	217	0	0	1	1	1	0	0	
P02	218	0	0	1	1	1	0	0	
P02	219	0	0	1	1	1	0	0	
P02	220	0	0	1	1	1	0	0	
P02	221	0	0	1	1	0	0	0	
P02	222	0	0	1	1	0	0	1	
P02	223	0	0	1	1	1	0	0	
P02	224	0	0	1	1	1	0	0	
P02	225	0	0	1	1	0	0	1	
P02	226	0	0	1	1	0	0	1	
P02	227	0	0	1	1	1	0	0	
P02	228	0	0	1	1	1	0	0	
P02	229	0	0	1	1	1	0	0	
P02	230	0	1	1	0	0	0	0	
P02	231	0	1	1	0	0	0	0	
P02	232	0	1	1	0	0	0	0	
P02	233	0	1	1	0	0	0	0	
P02	234	0	1	1	0	0	0	0	
P02	235	0	1	1	0	0	0	0	
P02	236	0	0	1	1	1	0	0	
P02	237	0	1	1	0	0	0	0	
P02	238	0	1	1	0	0	0	0	
P02	239	0	1	1	0	0	0	0	
P02	240	0	0	1	1	0	0	0	
P02	241	0	0	1	1	0	0	1	
P02	242	0	0	1	1	0	0	1	
P02	243	0	0	1	0	0	0	0	
P02	244	0	1	1	0	0	0	0	
P02	245	0	1	1	0	0	0	0	
P02	246	0	1	1	0	0	0	0	
P02	247	0	0	1	1	0	0	0	
P02	248	0	0	1	1	0	0	1	
P02	249	0	0	1	1	0	0	0	
P02	250	0	0	1	1	0	0	0	
P02	251	0	0	1	1	1	0	0	
P02	252	1	0	1	0	0	0	0	
P02	253	1	0	1	0	0	0	0	
P02	254	1	0	1	0	0	0	0	
P03	1	0	0	1	1	0	0	0	
P03	2	1	0	1	0	0	0	0	
P03	3	1	0	1	0	0	0	0	
P03	4	1	0	1	0	0	0	0	
P03	5	1	0	1	0	0	0	0	
P03	6	1	0	1	0	0	0	0	
P03	7	1	0	1	0	0	0	0	
P03	8	1	0	1	0	0	0	0	
P03	9	0	0	1	0	0	0	0	
P03	10	0	0	1	0	0	0	0	
P03	11	0	0	1	0	0	0	0	
P03	12	0	0	1	0	0	0	0	
P03	13	0	1	1	0	0	0	0	
P03	14	0	1	1	0	0	0	0	
P03	15	1	0	1	0	0	0	0	
P03	16	1	0	1	0	0	0	0	
P03	17	1	0	1	0	0	0	0	
P03	18	1	0	1	0	0	0	0	
P03	19	1	0	1	0	0	0	0	
P03	20	0	0	1	0	0	0	0	
P03	21	0	1	1	0	0	0	0	
P03	22	0	1	1	0	0	0	0	
P03	23	0	1	1	0	0	0	0	
P03	24	0	0	1	1	1	0	0	
P03	25	0	0	1	1	1	0	0	
P03	26	0	0	1	1	1	0	0	
P03	27	0	0	1	1	1	0	0	
P03	28	0	0	1	1	0	1	0	
P03	29	0	0	1	1	0	1	0	
P03	30	0	0	1	1	0	0	1	
P03	31	0	0	1	1	0	0	1	
P03	32	0	0	1	0	0	0	0	
P03	33	0	1	1	0	0	0	0	
P03	34	0	1	1	0	0	0	0	
P03	35	0	0	1	1	0	0	1	
P03	36	0	1	1	0	0	0	0	
P03	37	0	1	1	0	0	0	0	
P03	38	0	0	1	1	0	0	1	
P03	39	0	0	1	1	0	0	1	
P03	40	0	0	1	0	0	0	0	
P03	41	1	0	1	0	0	0	0	
P03	42	1	0	1	0	0	0	0	
P03	43	1	0	1	0	0	0	0	
P03	44	1	0	1	0	0	0	0	
P03	45	0	0	1	1	1	0	0	
P03	46	0	0	1	1	1	0	0	
P03	47	0	0	1	0	0	0	0	
P03	48	1	0	1	0	0	0	0	
P03	49	1	0	1	0	0	0	0	
P03	50	0	0	1	1	0	0	0	
P03	51	0	0	1	1	1	0	0	
P03	52	0	0	1	1	1	0	0	
P03	53	0	0	1	1	1	0	0	
P03	54	0	0	1	0	0	0	0	
P03	55	1	0	1	0	0	0	0	
P03	56	0	0	1	1	0	0	1	
P03	57	0	0	1	1	0	0	1	
P03	58	1	0	1	0	0	0	0	
P03	59	1	0	1	0	0	0	0	
P03	60	1	0	1	0	0	0	0	
P03	61	1	0	1	0	0	0	0	
P03	62	1	0	1	0	0	0	0	
